F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_37_725.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_37_725.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_37_725.jpg, 0, 0, 0, 7.864465E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_37_833.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_37_833.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_37_833.jpg, 0, 0, 0, 7.825369E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_37_943.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_37_943.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_37_943.jpg, 0, 0, 0, 7.790999E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_050.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_050.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_050.jpg, 0, 0, 0, 8.169196E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_163.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_163.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_163.jpg, 0, 0, 0, 8.045655E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_264.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_264.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_264.jpg, 0, 0, 0, 8.27894E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_373.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_373.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_373.jpg, 0, 0, 0, 7.989978E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_475.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_475.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_475.jpg, 0, 0, 0, 7.92821E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_578.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_578.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_578.jpg, 0, 0, 0, 7.899872E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_683.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_683.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_683.jpg, 0, 0, 0, 7.789639E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_786.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_786.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_786.jpg, 0, 0, 0, 7.820319E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_38_896.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_38_896.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_38_896.jpg, 0, 0, 0, 8.117104E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_39_003.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_39_003.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_39_003.jpg, 0, 0, 0, 7.733578E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_39_109.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_39_109.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_39_109.jpg, 0, 0, 0, 7.874325E-05
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_39_220.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_39_220.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_39_220.jpg, 0, 0.2073912, 0, 0.09631299
F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\center_2020_01_24_13_00_39_330.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\left_2020_01_24_13_00_39_330.jpg, F:\Self_Study\Udemy_Self_Driving_Car\Data\IMG\right_2020_01_24_13_00_39_330.jpg, 0, 0.5358186, 0, 0.6622485
